location,date,total_cases,total_deaths,people_vaccinated,total_cases_change_percentage,total_deaths_change_percentage,people_vaccinated_percentage,attention_score
1,Austria,2021-01-31,414398.0,7721.0,241633.0,0.8706967697720549,0.8058541639683979,0.021694056689276712,0.5660816634765765
2,Austria,2021-02-28,459440.0,8561.0,459221.0,0.9019632596204075,0.901880621422731,0.5261802051735439,0.7766746954055609
3,Austria,2021-03-31,546229.0,9339.0,1262612.0,0.8411124272054394,0.9166934361280651,0.3637071404358584,0.7071710012564543
4,Austria,2021-04-30,618870.0,10205.0,2359118.0,0.8826231680320584,0.915139637432631,0.5352051063151567,0.7776559705932821
5,Austria,2021-05-31,644815.0,10603.0,3707285.0,0.9597636531408233,0.9624634537395077,0.636346544708594,0.852857883862975
6,Austria,2021-06-30,650412.0,10702.0,4838933.0,0.9913946852149099,0.9907493926368903,0.7661368735628288,0.916093650471543
7,Austria,2021-07-31,659056.0,10737.0,5360434.0,0.9868842708358622,0.9967402440160193,0.902712914663253,0.9621124765050447
8,Austria,2021-08-31,688305.0,10772.0,5563762.0,0.9575057568955623,0.996750835499443,0.963454942896551,0.972570511763852
9,Austria,2021-09-30,743095.0,11009.0,5790946.0,0.9262678392399357,0.9784721591425197,0.9607691040462129,0.9551697008095562
10,Austria,2021-10-31,830981.0,11357.0,5959817.0,0.8942382557483264,0.9693581051333979,0.9716650695818345,0.945087143487853
11,Austria,2021-11-30,1159995.0,12492.0,6397636.0,0.7163660188190466,0.909141850784502,0.9315655032577659,0.8523577909537714
12,Austria,2021-12-31,1278619.0,13733.0,6636925.0,0.9072249043694799,0.9096337289740042,0.9639458032145911,0.9269348121860251
13,Austria,2022-01-27,1727661.0,14042.0,6740980.0,0.7400867415540433,0.9779945876655747,0.9845638171304469,0.9008817154500216
15,Belgium,2021-01-31,710153.0,21092.0,317732.0,0.9103615699715414,0.9258486630001896,0.0029616154494983195,0.6130572828070765
16,Belgium,2021-02-28,771511.0,22077.0,534410.0,0.920470349742259,0.9553834307197536,0.5945472577234707,0.8234670127284943
17,Belgium,2021-03-31,882453.0,23016.0,1434547.0,0.8742799899824694,0.9592022940563086,0.37252874949374265,0.7353370111775068
18,Belgium,2021-04-30,990229.0,24230.0,3109956.0,0.8911605295340774,0.9498968221213372,0.46127565791927605,0.767444336524897
19,Belgium,2021-05-31,1062001.0,24955.0,4751599.0,0.9324181427324456,0.970947705870567,0.6545072511379854,0.8526243665803327
20,Belgium,2021-06-30,1085131.0,25173.0,7256883.0,0.978684601214047,0.9913399277003139,0.654771339154841,0.8749319560230672
21,Belgium,2021-07-31,1124715.0,25241.0,8100947.0,0.9648053062331347,0.9973059704449111,0.8958067495071872,0.9526393420617443
22,Belgium,2021-08-31,1184664.0,25380.0,8471437.0,0.9493957780433946,0.9945232466509062,0.9562659794318249,0.9667283347087086
23,Belgium,2021-09-30,1244954.0,25602.0,8631022.0,0.9515725078998902,0.9913288024373096,0.9815103008658767,0.9748038704010256
24,Belgium,2021-10-31,1360650.0,25994.0,8748041.0,0.9149700510785287,0.9849195968300377,0.9866234051715121,0.9621710176933594
25,Belgium,2021-11-30,1766035.0,27015.0,8859379.0,0.7704547191873321,0.9622061817508791,0.9874327534695152,0.9066978848025755
26,Belgium,2021-12-31,2105343.0,28331.0,8919740.0,0.8388348121897478,0.9535491158095373,0.9932328745008263,0.9285389341667037
27,Belgium,2022-01-27,3007724.0,28938.0,9117416.0,0.6999787879472984,0.9790241205335545,0.9783188570094861,0.885773921830113
29,Bulgaria,2021-01-31,218748.0,9045.0,28041.0,0.9198712673944448,0.8308457711442786,0.16433080132662886,0.6383492799551175
30,Bulgaria,2021-02-28,247038.0,10191.0,175066.0,0.8854832050129939,0.8875478363261702,0.16017387728056848,0.6444016395399109
31,Bulgaria,2021-03-31,342633.0,13197.0,377440.0,0.7209988530001489,0.7722209593089339,0.46382471386180585,0.6523481753902962
32,Bulgaria,2021-04-30,404380.0,16399.0,602109.0,0.8473045155546763,0.8047441917190072,0.626863242369737,0.7596373165478069
33,Bulgaria,2021-05-31,418577.0,17700.0,805538.0,0.9660827040186154,0.926497175141243,0.7474619446878981,0.8800139412825855
34,Bulgaria,2021-06-30,421829.0,18061.0,955804.0,0.9922907149579568,0.980012180942362,0.8427857594234801,0.938362885107933
35,Bulgaria,2021-07-31,425054.0,18213.0,1028258.0,0.992412728735643,0.9916543128534563,0.9295371395116789,0.9712013937002594
36,Bulgaria,2021-08-31,455742.0,18896.0,0.0,0.9326636561914416,0.963854784081287,inf,inf
37,Bulgaria,2021-09-30,502162.0,20882.0,0.0,0.9075597118061502,0.9048941672253615,,0.9062269395157558
38,Bulgaria,2021-10-31,602492.0,23999.0,0.0,0.8334749673024704,0.8701195883161799,,0.8517972778093251
39,Bulgaria,2021-11-30,695057.0,28453.0,0.0,0.8668238719989871,0.8434611464520437,,0.8551425092255154
40,Bulgaria,2021-12-31,747108.0,30955.0,0.0,0.930330019220782,0.9191729930544339,,0.9247515061376079
41,Bulgaria,2022-01-28,933337.0,33088.0,0.0,0.8004697124404154,0.9355355415860735,,0.8680026270132445
43,Croatia,2021-01-29,231539.0,4972.0,0.0,0.9002630226441334,0.7763475462590507,inf,inf
44,Croatia,2021-02-25,241592.0,5489.0,135756.0,0.9583885227987682,0.905811623246493,0.0,0.6214000486817537
45,Croatia,2021-03-31,271632.0,5947.0,385724.0,0.8894092006832773,0.9229863796872373,0.3519511360454626,0.7214489054719925
46,Croatia,2021-04-30,332183.0,7081.0,702470.0,0.8177179446269075,0.8398531280892529,0.5490967585804376,0.7355559437655327
47,Croatia,2021-05-31,356181.0,8026.0,1280300.0,0.9326241433428509,0.8822576625965611,0.548676091541045,0.7878526324934857
48,Croatia,2021-06-29,359736.0,8205.0,1488707.0,0.9901177530188805,0.9781840341255332,0.8600080472517426,0.9427699447987189
